state_abbreviation,fips_code,state_name,contiguous_us
AK,02,ALASKA,0
AL,01,ALABAMA,1
AR,05,ARKANSAS,1
AS,60,AMERICAN SAMOA,0
AZ,04,ARIZONA,1
CA,06,CALIFORNIA,1
CO,08,COLORADO,1
CT,09,CONNECTICUT,1
DC,11,DISTRICT OF COLUMBIA,1
DE,10,DELAWARE,1
FL,12,FLORIDA,1
GA,13,GEORGIA,1
GU,66,GUAM,0
HI,15,HAWAII,0
IA,19,IOWA,1
ID,16,IDAHO,1
IL,17,ILLINOIS,1
IN,18,INDIANA,1
KS,20,KANSAS,1
KY,21,KENTUCKY,1
LA,22,LOUISIANA,1
MA,25,MASSACHUSETTS,1
MD,24,MARYLAND,1
ME,23,MAINE,1
MI,26,MICHIGAN,1
MN,27,MINNESOTA,1
MO,29,MISSOURI,1
MS,28,MISSISSIPPI,1
MT,30,MONTANA,1
NC,37,NORTH CAROLINA,1
ND,38,NORTH DAKOTA,1
NE,31,NEBRASKA,1
NH,33,NEW HAMPSHIRE,1
NJ,34,NEW JERSEY,1
NM,35,NEW MEXICO,1
NV,32,NEVADA,1
NY,36,NEW YORK,1
OH,39,OHIO,1
OK,40,OKLAHOMA,1
OR,41,OREGON,1
PA,42,PENNSYLVANIA,1
PR,72,PUERTO RICO,0
RI,44,RHODE ISLAND,1
SC,45,SOUTH CAROLINA,1
SD,46,SOUTH DAKOTA,1
TN,47,TENNESSEE,1
TX,48,TEXAS,1
UT,49,UTAH,1
VA,51,VIRGINIA,1
VI,78,VIRGIN ISLANDS,0
VT,50,VERMONT,1
WA,53,WASHINGTON,1
WI,55,WISCONSIN,1
WV,54,WEST VIRGINIA,1
WY,56,WYOMING,1
